id,membro_id,parente_id,tipo_relacionamento,created_at,updated_at
59f562f2-2c77-44ec-93d4-999b50a6816f,22ec752c,e369e1e0,irma,2025-10-04 22:49:08.089852+00,2025-10-04 22:49:08.089852+00
5b15296c-b4a7-4a9e-9150-058b13a383d4,MEM000533,MEM000532,conjuge,2025-09-12 11:38:11.789157+00,2025-09-12 11:38:11.789157+00
5b244cdb-e339-4f0c-87ee-ecf9ed9e4626,mem00031,mem00001,conjuge,2025-10-17 15:29:35.68712+00,2025-10-17 15:29:35.68712+00
5d6507a5-9f43-4231-980e-076f4f56dcad,12e6a5cd,3743de23,mae,2025-09-01 14:52:52.923165+00,2025-09-01 14:52:52.923165+00
5eef9147-5ce4-4c30-ad24-45d006bed863,3f544d96,mem00002,conjuge,2025-10-17 14:50:15.189816+00,2025-10-17 14:50:15.189816+00
5fdde65e-6d12-42a5-8c63-6d00a92ea851,02d38842,ccd62b8a,mae,2025-09-01 14:41:14.702291+00,2025-09-01 14:41:14.702291+00
6037a8aa-3dc0-4a64-a61e-728cb7d70fff,cdf8b25e,d2020b13,conjuge,2025-10-04 22:50:59.744787+00,2025-10-04 22:50:59.744787+00
61a6b20a-7f17-4a97-934a-6e0518dee79f,MEM000531,MEM000532,mae,2025-09-12 11:38:58.81273+00,2025-09-12 11:38:58.81273+00
646ca7a4-f38a-4d7c-8288-ddb701e1c56a,02d38842,mem00045,pai,2025-09-01 14:41:03.697174+00,2025-09-01 14:41:03.697174+00
688dcba7-9b31-465d-acd7-84b0357b7143,829999c2,MEM000048,pai,2025-09-04 14:49:38.515094+00,2025-09-04 14:49:38.515094+00
702102df-f447-4fb1-a954-35e6b54992c1,d22d1bad,79db7e70,mae,2025-09-01 14:38:51.360212+00,2025-09-01 14:38:51.360212+00
70461b45-9832-477f-8299-681daef58bb4,mem00001,mem00031,conjuge,2025-08-23 17:55:07.435469+00,2025-08-23 17:55:07.435469+00
7337582b-44a3-454c-b55a-317262398951,MEM000166,MEM000048,pai,2025-09-04 14:57:28.665157+00,2025-09-04 14:57:28.665157+00
737f2c4f-af49-4121-b164-acb97f199055,10028876,mem00036,pai,2025-09-01 14:34:49.021002+00,2025-09-01 14:34:49.021002+00
