idavaliacao,idfrase,valor
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,930f9c6f-7896-46e1-86ed-b6b11296dfb8,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,a580b045-2783-4cfa-bab6-08d23c757a90,0
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,a91f762d-7198-4e0e-8eca-a63854433339,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,a9a24579-904f-40be-9347-f7309ca2a897,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,ae0ac19b-f46f-4c13-aa96-36a540ed9c82,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,b5e14fff-36ab-44b7-afed-cd4656c51ea1,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,beca0a12-87a2-4318-9833-6ab40fc426f2,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,c07df549-3624-4f55-9927-eb212ddd5673,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,c19533e3-94a3-45ef-9b38-d6d9dc48a30c,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,cd0c0159-1217-48be-a34d-59ccda5ce1a5,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,d9425451-5897-4baa-9880-d3f707eff195,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,db72a39d-1e47-4708-a265-3f54a824368f,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,db834a42-95f1-422b-8ee4-54adc1aacff8,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,e08509d5-ab33-4515-8859-c1e5c80195ee,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,f480c751-70e7-43c1-a2be-5e41392a08ec,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,f6ad0303-a064-4aad-a73e-b17451e86f66,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,fc2aa68d-6d5e-4cfc-84f2-49e9aef8691b,3
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,01890485-2713-4bd8-892d-46793b1bca27,1
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,094399eb-fd51-4d10-898e-e14f2b68cf38,2
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,0a7fd7e3-6c2f-4280-917b-5462f48f81c0,1
