idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
53df0946,9327fe0b,,2025-07-27,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
54d2c97c,9327fe0b,,2025-05-21,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
564c39ed,9327fe0b,,2025-01-11,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
57110d6c,9327fe0b,,2025-12-31,,,e9150cce,77f4248d,,Culto da Virada,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
593ab711,e910cfb7,,2025-10-18,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
5a1f863e,33b4a9a3,,2025-09-30,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
5bf88079,9327fe0b,,2025-03-23,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
5e76a640,c082c4c8,,2024-12-06,,,e9150cce,1ec35112,,Culto Drops Teens,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
5f547856,e910cfb7,,2025-05-17,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
60dfe2fb,9327fe0b,,2025-06-07,,,e9150cce,5103750e,,Aniversário Sede - Ap de Gyn,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
61f48b66,9327fe0b,,2025-11-06,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
621d6068,9327fe0b,,2025-05-09,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
