"strong_code","language","lemma","transliteration"
"H0260","hebrew","אָחוּ","a.chu"
"H0261","hebrew","אֵחוּד","e.chud"
"H0262","hebrew","אַחְוָה","ach.vah"
"H0263","hebrew","אַחֲוָיָה","a.cha.vah"
"H0264","hebrew","אַחֲוָה","a.cha.vah"
"H0265","hebrew","אֲחוֹחַ","a.cho.ach"
"H0266","hebrew","אֲחוֹחִי","a.cho.chi"
"H0267","hebrew","אֲחוּמַי","a.chu.may"
"H0268","hebrew","אָחוֹר","a.chor"
"H0269","hebrew","אָחוֹת","a.chot"
"H0270","hebrew","אָחַז","a.chaz"
"H0271","hebrew","אָחָז","a.chaz"
"H0272","hebrew","אֲחֻזָּה","a.chuz.zah"
"H0273","hebrew","אַחְזַי","ach.zay"
"H0274","hebrew","אֲחַזְיָ֫הוּ","a.chaz.yah"
"H0275","hebrew","אֲחֻזָּם","a.chuz.zam"
"H0276","hebrew","אֲחֻזַּת","a.chuz.zat"
"H0277","hebrew","אֲחִי","a.chi"
"H0278","hebrew","אֵחִי","e.chi"
"H0279","hebrew","אֲחִיאָם","a.chi.am"
"H0280","hebrew","אֲחִידָה","a.chi.dah"
"H0281","hebrew","אֲחִיָּ֫הוּ","a.chiy.yah"
"H0282","hebrew","אֲחִיהוּד","a.chi.hud"
"H0283","hebrew","אַחְיוֹ","ach.yo"
"H0284","hebrew","אֲחִיחֻד","a.chi.chud"
"H0285","hebrew","אֲחִיטוּב","a.chi.tuv"
"H0286","hebrew","אֲחִילוּד","a.chi.lud"
"H0287","hebrew","אֲחִימוֹת","a.chi.mot"
"H0288","hebrew","אֲחִימֶ֫לֶךְ","a.chi.me.lekh"
"H0289","hebrew","אֲחִימַן","a.chi.man"
"H0290","hebrew","אֲחִימַ֫עַץ","a.chi.ma.ats"
"H0291","hebrew","אַחְיָן","ach.yan"
"H0292","hebrew","אֲחִינָדָב","a.chi.na.dav"
"H0293","hebrew","אֲחִינֹ֫עַם","a.chi.no.am"
"H0294","hebrew","אֲחִיסָמָךְ","a.chi.sa.makh"
"H0295","hebrew","אֲחִיעֶ֫זֶר","a.chi.e.zer"
"H0296","hebrew","אֲחִיקָם","a.chi.qam"
"H0297","hebrew","אֲחִירָם","a.chi.ram"
"H0298","hebrew","אֲחִירָמִי","a.chi.ra.mi"
"H0299","hebrew","אֲחִירַע","a.chi.ra"
"H0300","hebrew","אֲחִישָׁ֑חַר","a.chi.sha.char"
"H0301","hebrew","אֲחִישָׁר","a.chi.shar"
"H0302","hebrew","אֲחִיתֹ֫פֶל","a.chi.to.phel"
"H0303","hebrew","אַחְלָב","ach.lav"
"H0304","hebrew","אַחְלָ֑י","ach.lay"
